message_number,forum,subject,datetime,timezone,username,message_content
191,Commotion-admin, [commotion-quick-start] V0.21 (#24),"Thu, 16 May 2013 08:54:52 -0700",-0700,areynold,"Merged #24.

"
192,Commotion-admin, [luci-commotion] added channel settings to,"Thu, 16 May 2013 10:16:15 -0700",-0700,areynold,"Doesn't seem to change wifi channel. Dropdown menu could also be clarified.

"
193,Commotion-admin, [luci-commotion] added channel settings to,"Thu, 16 May 2013 10:16:15 -0700",-0700,areynold,"Closed #5.

"
194,Commotion-admin, [luci-commotion] added channel settings to,"Thu, 16 May 2013 11:14:05 -0700",-0700,areynold,"Reopened #5.

"
195,Commotion-admin, [luci-commotion] added channel settings to,"Thu, 16 May 2013 11:46:09 -0700",-0700,areynold,"Merged #5.

"
196,Commotion-admin, [commotion-openwrt-theme] Removed excess,"Thu, 16 May 2013 12:48:44 -0700",-0700,Griffin Boyce,"This should fix issue #467, and prevent content from exceeding the width of the space.  Vertical scrollbar will only appear if we add more content to the quickstart area.
You can merge this Pull Request by running:

  git pull https://github.com/glamrock/commotion-openwrt-theme master

Or you can view, comment on it, or merge it online at:

  https://github.com/opentechinstitute/commotion-openwrt-theme/pull/5

-- Commit Summary --

  * removed excess scrollbar and set max-width

-- File Changes --

    M files/htdocs/cascade.css (8)

-- Patch Links --

https://github.com/opentechinstitute/commotion-openwrt-theme/pull/5.patch
https://github.com/opentechinstitute/commotion-openwrt-theme/pull/5.diff

"
197,Commotion-admin, [luci-commotion] Clarifying wifi channel menu (#6),"Thu, 16 May 2013 12:50:09 -0700",-0700,areynold,"
You can merge this Pull Request by running:

  git pull https://github.com/opentechinstitute/luci-commotion s2emeshconfigtests

Or you can view, comment on it, or merge it online at:

  https://github.com/opentechinstitute/luci-commotion/pull/6

-- Commit Summary --

  * Clarifying wifi channel menu

-- File Changes --

    M luasrc/model/cbi/commotion/meshconfig.lua (20)

-- Patch Links --

https://github.com/opentechinstitute/luci-commotion/pull/6.patch
https://github.com/opentechinstitute/luci-commotion/pull/6.diff

"
198,Commotion-admin, [luci-commotion] Clarifying wifi channel menu,"Thu, 16 May 2013 12:51:17 -0700",-0700,areynold,"Merged #6.

"
199,Commotion-admin, [olsrd] Release 0.6.5.4 (#3),"Thu, 16 May 2013 20:42:52 -0700",-0700,Ben West,"Here is olsrd release 0.6.5.4 to try out.
You can merge this Pull Request by running:

  git pull https://github.com/westbywest/olsrd release-0.6.5.4

Or you can view, comment on it, or merge it online at:

  https://github.com/opentechinstitute/olsrd/pull/3

-- Commit Summary --

  * pud: set local loopback for multicast tx
  * Fix setsockopt for setting Traffic Class in IPv6
  * Release v0.6.5.3
  * Update version after release of v0.6.5.3
  * Remove mercurial ignore file; we use git
  * build: ignore builddata.c when hashing sources
  * release: refactor the checkVersionIncrementing function
  * release: update some comments
  * release: do not update the version on master when it&#39;s already higher
  * release: only report that master changed when it was actually changed
  * release: fix the list of generated files
  * release: checkVersionIncrementing: optionally allow equal versions
  * release: also check against the Makefile version when branching
  * txtinfo: prevent buffer overflow
  * pud: nmealib: _nmea_parse_time not parsing hsec when given &quot;hhmmss&quot; format
  * Release v0.6.5.4
  * Merge branch &#39;release-0.6.5.4&#39; into HEAD

-- File Changes --

    D .hgignore (33)
    M CHANGELOG (35)
    M Makefile (2)
    M gui/win32/Inst/installer.nsi (2)
    M gui/win32/Main/Frontend.rc (2)
    M lib/pud/nmealib/src/parse.c (1)
    M lib/pud/src/networkInterfaces.c (2)
    M lib/txtinfo/src/olsrd_txtinfo.c (9)
    M make/hash_source.sh (2)
    M release/release.bash (111)
    M src/unix/ifnet.c (14)

-- Patch Links --

https://github.com/opentechinstitute/olsrd/pull/3.patch
https://github.com/opentechinstitute/olsrd/pull/3.diff

"
200,Commotion-admin, [olsrd] Release 0.6.5.4 (#3),"Fri, 17 May 2013 11:19:01 -0700",-0700,danstaples,"Tested it out. Meshes fine, no stability problems so far. Not sure what else to test for, so I'll just merge it.

"
201,Commotion-admin, [olsrd] Release 0.6.5.4 (#3),"Fri, 17 May 2013 11:19:07 -0700",-0700,danstaples,"Merged #3.

"
202,Commotion-admin, [commotion-feed] changed olsrd version to 0.6.5.4,"Fri, 17 May 2013 11:22:54 -0700",-0700,danstaples,"
You can merge this Pull Request by running:

  git pull https://github.com/opentechinstitute/commotion-feed olsrd-0.6.5.4

Or you can view, comment on it, or merge it online at:

  https://github.com/opentechinstitute/commotion-feed/pull/7

-- Commit Summary --

  * changed olsrd version to 0.6.5.4

-- File Changes --

    M packages/olsrd/Makefile (2)

-- Patch Links --

https://github.com/opentechinstitute/commotion-feed/pull/7.patch
https://github.com/opentechinstitute/commotion-feed/pull/7.diff

"
203,Commotion-admin, [commotion-openwrt-theme] Removed excess,"Fri, 17 May 2013 11:23:54 -0700",-0700,Griffin Boyce,"Merged #5.

"
204,Commotion-admin, [commotion-openwrt-theme] Removed excess,"Fri, 17 May 2013 11:24:29 -0700",-0700,Griffin Boyce,"This should fix any lingering problems with the header and footer widths.

"
205,Commotion-admin, [luci-commotion] Dr1 stable patch (#7),"Fri, 17 May 2013 12:36:11 -0700",-0700,areynold,"
You can merge this Pull Request by running:

  git pull https://github.com/opentechinstitute/luci-commotion dr1StablePatch

Or you can view, comment on it, or merge it online at:

  https://github.com/opentechinstitute/luci-commotion/pull/7

-- Commit Summary --

  * removed remote upgrade functionality
  * removed unused settings from menuconfig
  * fixed interfaces menu for commotion profiles by changing profile names to commotion from commotionif

-- File Changes --

    M luasrc/controller/commotion/commotion.lua (1)
    A luasrc/model/cbi/admin_network/proto_commotion.lua (16)
    D luasrc/model/cbi/admin_network/proto_commotionif.lua (48)
    M luasrc/model/cbi/commotion/meshconfig.lua (62)
    D luasrc/model/cbi/commotion/upgrade.lua (41)
    M luasrc/model/network/proto_commotion.lua (6)

-- Patch Links --

https://github.com/opentechinstitute/luci-commotion/pull/7.patch
https://github.com/opentechinstitute/luci-commotion/pull/7.diff

"
206,Commotion-admin, [luci-commotion] Dr1 stable patch (#7),"Fri, 17 May 2013 12:36:56 -0700",-0700,areynold,"Merged #7.

"
207,Commotion-admin, [commotion-feed] changed olsrd version to,"Fri, 17 May 2013 12:40:33 -0700",-0700,areynold,"Merged #7.

"
208,Commotion-admin, [luci-commotion] wifi patch added (#8),"Fri, 17 May 2013 14:12:42 -0700",-0700,Seamus Tuohy,"
You can merge this Pull Request by running:

  git pull https://github.com/opentechinstitute/luci-commotion testPatch

Or you can view, comment on it, or merge it online at:

  https://github.com/opentechinstitute/luci-commotion/pull/8

-- Commit Summary --

  * wifi patch added

-- File Changes --

    M files/etc/uci-defaults/luci-commotion (5)
    A files/usr/share/commotion/patches/wifi.lua.patch (31)

-- Patch Links --

https://github.com/opentechinstitute/luci-commotion/pull/8.patch
https://github.com/opentechinstitute/luci-commotion/pull/8.diff

"
209,Commotion-admin, [commotion-feed] added functionality for patches,"Fri, 17 May 2013 14:14:50 -0700",-0700,Seamus Tuohy,"
You can merge this Pull Request by running:

  git pull https://github.com/opentechinstitute/commotion-feed luci-commotion-wifi-patch

Or you can view, comment on it, or merge it online at:

  https://github.com/opentechinstitute/commotion-feed/pull/8

-- Commit Summary --

  * added functionality for patches in luci-commotion

-- File Changes --

    M packages/luci-commotion/Makefile (4)

-- Patch Links --

https://github.com/opentechinstitute/commotion-feed/pull/8.patch
https://github.com/opentechinstitute/commotion-feed/pull/8.diff

"
210,Commotion-admin, [luci-commotion] wifi patch added (5ed8ca0),"Fri, 17 May 2013 14:19:21 -0700",-0700,Josh King,"Looks good.

"
211,Commotion-admin, [luci-commotion] wifi patch added (#8),"Fri, 17 May 2013 14:19:37 -0700",-0700,Josh King,"Merged #8.

"
212,Commotion-admin, [commotion-feed] added functionality for,"Fri, 17 May 2013 14:22:15 -0700",-0700,Josh King,"Merged #8.

"
213,Commotion-admin, [commotion-openwrt] Remove httpinfo and bind,"Fri, 17 May 2013 16:26:05 -0700",-0700,hawkinswnaf,"1. Remove httpinfo from the default olsrd config.
2. Make sure that txtinfo listens to connections
   from localhost only.
You can merge this Pull Request by running:

  git pull https://github.com/hawkinswnaf/commotion-openwrt master

Or you can view, comment on it, or merge it online at:

  https://github.com/opentechinstitute/commotion-openwrt/pull/10

-- Commit Summary --

  * Remove httpinfo and bind txtinfo to localhost

-- File Changes --

    M default-files/etc/config/olsrd (7)

-- Patch Links --

https://github.com/opentechinstitute/commotion-openwrt/pull/10.patch
https://github.com/opentechinstitute/commotion-openwrt/pull/10.diff

"
214,Commotion-admin, [commotion-openwrt] added patch for openwrt,"Fri, 17 May 2013 16:54:24 -0700",-0700,hawkinswnaf,"We are going to test with the ""pucks"" before merging.

"
215,Commotion-admin, [commotion-openwrt] Remove httpinfo and only,"Fri, 17 May 2013 16:48:26 -0700",-0700,hawkinswnaf,"1. Remove httpinfo from the default olsrd config.
2. Make txtinfo and jsoninfo only respond to
   connections from localhost.
You can merge this Pull Request by running:

  git pull https://github.com/hawkinswnaf/commotion-openwrt DR1-testing

Or you can view, comment on it, or merge it online at:

  https://github.com/opentechinstitute/commotion-openwrt/pull/11

-- Commit Summary --

  * Remove httpinfo and only listen locally

-- File Changes --

    M default-files/etc/config/olsrd (9)

-- Patch Links --

https://github.com/opentechinstitute/commotion-openwrt/pull/11.patch
https://github.com/opentechinstitute/commotion-openwrt/pull/11.diff

"
216,Commotion-admin, [commotion-openwrt] Remove httpinfo and bind,"Fri, 17 May 2013 16:44:55 -0700",-0700,hawkinswnaf,"Closed #10.

"
217,Commotion-admin, Your message to Chambana-rooters awaits moderator,"Sun, 19 May 2013 01:34:32 +0000",+0000,chambana-rooters-owner at lists.chambana.net,"Your mail to 'Chambana-rooters' with the subject

    Commotion Wireless Project account activation request

Is being held until the list moderator can review it for approval.

The reason it is being held:

    Too many recipients to the message

Either the message will get posted to the list, or you will receive
notification of the moderator's decision.  If you would like to cancel
this posting, please visit the following URL:

    https://lists.chambana.net/mailman/confirm/chambana-rooters/befdd17865d5e958c988d89e26c70a1d0c5661c0

"
218,Commotion-admin, [commotion-openwrt] Remove httpinfo and only,"Mon, 20 May 2013 15:05:56 -0700",-0700,Josh King,"Merged #11.

"
219,Commotion-admin, [commotion-openwrt] added patch for openwrt,"Mon, 20 May 2013 18:39:24 -0700",-0700,Josh King,"If this pull request is still desired against PR3, we can branch and then resubmit.

"
220,Commotion-admin, [commotion-openwrt] added patch for openwrt,"Mon, 20 May 2013 18:39:24 -0700",-0700,Josh King,"Closed #9.

"
221,Commotion-admin, Your message to Chambana-rooters awaits moderator,"Tue, 21 May 2013 16:41:00 +0000",+0000,chambana-rooters-owner at lists.chambana.net,"Your mail to 'Chambana-rooters' with the subject

    Commotion Wireless Project account activation request

Is being held until the list moderator can review it for approval.

The reason it is being held:

    Too many recipients to the message

Either the message will get posted to the list, or you will receive
notification of the moderator's decision.  If you would like to cancel
this posting, please visit the following URL:

    https://lists.chambana.net/mailman/confirm/chambana-rooters/2ecef5710070c45f707a07c221032531237ea790


"
222,Commotion-admin, [luci-commotion] Protocol handler stub cleanup,"Wed, 22 May 2013 13:32:50 -0700",-0700,Josh King,"Removing a lot of unnecessary stuff from proto_commotion.lua, particularly a bunch of functions that screw up the display of interfaces in the admin wifi page.
You can merge this Pull Request by running:

  git pull https://github.com/opentechinstitute/luci-commotion proto-cleanup

Or you can view, comment on it, or merge it online at:

  https://github.com/opentechinstitute/luci-commotion/pull/9

-- Commit Summary --

  * Remove unnecessary lines in proto_commotion.lua
  * Update license header on proto_commotion.lua.

-- File Changes --

    M luasrc/model/network/proto_commotion.lua (42)

-- Patch Links --

https://github.com/opentechinstitute/luci-commotion/pull/9.patch
https://github.com/opentechinstitute/luci-commotion/pull/9.diff

"
223,Commotion-admin, [luci-commotion] Protocol handler stub,"Wed, 22 May 2013 13:35:07 -0700",-0700,Seamus Tuohy,"Merged #9.

"
224,Commotion-admin, [commotion-apps] fixed port input validation to,"Wed, 22 May 2013 13:53:51 -0700",-0700,danstaples,"
You can merge this Pull Request by running:

  git pull https://github.com/opentechinstitute/commotion-apps security-fix

Or you can view, comment on it, or merge it online at:

  https://github.com/opentechinstitute/commotion-apps/pull/3

-- Commit Summary --

  * Merge pull request #1 from danstaples/single-key
  * Merge pull request #2 from opentechinstitute/hop-count-fix
  * fixed port input validation to prevent code injection

-- File Changes --

    M lua/luci/controller/commotion/apps_controller.lua (2)

-- Patch Links --

https://github.com/opentechinstitute/commotion-apps/pull/3.patch
https://github.com/opentechinstitute/commotion-apps/pull/3.diff

"
225,Commotion-admin, [commotion-apps] fixed port input validation,"Wed, 22 May 2013 13:54:55 -0700",-0700,danstaples,"Closed #3.

"
226,Commotion-admin, [commotion-apps] fixed port input validation to,"Wed, 22 May 2013 13:55:38 -0700",-0700,danstaples,"
You can merge this Pull Request by running:

  git pull https://github.com/opentechinstitute/commotion-apps security-fix

Or you can view, comment on it, or merge it online at:

  https://github.com/opentechinstitute/commotion-apps/pull/4

-- Commit Summary --

  * fixed port input validation to prevent code injection

-- File Changes --

    M lua/luci/controller/commotion/apps_controller.lua (2)

-- Patch Links --

https://github.com/opentechinstitute/commotion-apps/pull/4.patch
https://github.com/opentechinstitute/commotion-apps/pull/4.diff

"
227,Commotion-admin, [commotion-android] Get Fake Default Route,"Thu, 23 May 2013 15:45:34 -0700",-0700,hawkinswnaf,"Requires a change in the way that the exec
is called (del-fake-default-route) and requires
that the script be run asynchronously (MeshService.java).
You can merge this Pull Request by running:

  git pull https://github.com/hawkinswnaf/commotion-android master

Or you can view, comment on it, or merge it online at:

  https://github.com/opentechinstitute/commotion-android/pull/5

-- Commit Summary --

  * Get Fake Default Route deletion working

-- File Changes --

    M assets/del-fake-default-route (2)
    M src/net/commotionwireless/meshtether/MeshService.java (13)

-- Patch Links --

https://github.com/opentechinstitute/commotion-android/pull/5.patch
https://github.com/opentechinstitute/commotion-android/pull/5.diff

"
228,Commotion-admin, [shell-fork] General cleanup. (#1),"Thu, 23 May 2013 15:46:07 -0700",-0700,hawkinswnaf,"
You can merge this Pull Request by running:

  git pull https://github.com/hawkinswnaf/shell-fork master

Or you can view, comment on it, or merge it online at:

  https://github.com/opentechinstitute/shell-fork/pull/1

-- Commit Summary --

  * Guard against NPE when Shell is not running.
  * Use a more reasonable default DEBUG value.
  * Use the Android Handler object
  * Call stopProcess() and don&#39;t just notify.

-- File Changes --

    M common.h (4)
    M src/net/commotionwireless/shell/Shell.java (14)
    M src/net/commotionwireless/shell/ShellProcess.java (14)

-- Patch Links --

https://github.com/opentechinstitute/shell-fork/pull/1.patch
https://github.com/opentechinstitute/shell-fork/pull/1.diff

"
229,Commotion-admin, [commotion-android] Get Fake Default Route,"Fri, 24 May 2013 14:40:33 -0700",-0700,hawkinswnaf,"Merged #5.

"
230,Commotion-admin, [shell-fork] General cleanup. (#1),"Fri, 24 May 2013 14:41:05 -0700",-0700,hawkinswnaf,"Merged #1.

"
231,Commotion-admin, [commotion-apps] fixed port input validation,"Fri, 24 May 2013 15:18:29 -0700",-0700,danstaples,"to test:

1. try submitting applications with the following values in the port field, and ensure it returns a validation error without opening up a reverse shell (test with ""nc <ip address> 1337"" and entering shell commands):

`nc -e /bin/sh -l -p 1337`
$(nc -e /bin/sh -l -p 1337)

2. try submitting applications with the following values in both the name and description fields. the application should be *accepted*, but without opening up a reverse shell:

`nc -e /bin/sh -l -p 1337`
$(nc -e /bin/sh -l -p 1337)

"
232,Commotion-admin, Your message to Chambana-rooters awaits moderator,"Mon, 27 May 2013 11:03:49 +0000",+0000,chambana-rooters-owner at lists.chambana.net,"Your mail to 'Chambana-rooters' with the subject

    Commotion Wireless Project account activation request

Is being held until the list moderator can review it for approval.

The reason it is being held:

    Too many recipients to the message

Either the message will get posted to the list, or you will receive
notification of the moderator's decision.  If you would like to cancel
this posting, please visit the following URL:

    https://lists.chambana.net/mailman/confirm/chambana-rooters/36238fa029182f4fe7498d624fb19ceecc8cad6c


"
233,Commotion-admin, [commotion-apps] fixed port input validation,"Wed, 29 May 2013 08:40:53 -0700",-0700,areynold,"Merged #4.

"
234,Commotion-admin, [project-assets] Added print stylesheet (#1),"Wed, 29 May 2013 12:22:07 -0700",-0700,Griffin Boyce,"Should correct print-related mishaps.
You can merge this Pull Request by running:

  git pull https://github.com/glamrock/project-assets master

Or you can view, comment on it, or merge it online at:

  https://github.com/opentechinstitute/project-assets/pull/1

-- Commit Summary --

  * added print stylesheet

-- File Changes --

    A .gitignore (2)
    M redmine-theme/stylesheets/application.css (5)
    A redmine-theme/stylesheets/print.css (1086)

-- Patch Links --

https://github.com/opentechinstitute/project-assets/pull/1.patch
https://github.com/opentechinstitute/project-assets/pull/1.diff

"
235,Commotion-admin, [project-assets] Added print stylesheet (#1),"Wed, 29 May 2013 12:26:33 -0700",-0700,Griffin Boyce,"Merged #1.

"
236,Commotion-admin, [commotion-mesh-applet] Fix menu undefined (#2),"Fri, 31 May 2013 21:39:37 -0700",-0700,hawkinswnaf,"In add_visible_profile_menu_item, menu is
undefined and should be self.menu.
You can merge this Pull Request by running:

  git pull https://github.com/hawkinswnaf/commotion-mesh-applet master

Or you can view, comment on it, or merge it online at:

  https://github.com/opentechinstitute/commotion-mesh-applet/pull/2

-- Commit Summary --

  * Fix menu undefined.

-- File Changes --

    M commotion_applet_support.py (10)

-- Patch Links --

https://github.com/opentechinstitute/commotion-mesh-applet/pull/2.patch
https://github.com/opentechinstitute/commotion-mesh-applet/pull/2.diff

"
237,Commotion-admin, [commotion-mesh-applet] Fix menu undefined,"Sat, 01 Jun 2013 12:17:28 -0700",-0700,hawkinswnaf,"Closed #2 via 5e9ce69f25c0070db9c422156438813fb3ca02ad.

"
238,Commotion-admin, Your message to Chambana-rooters awaits moderator,"Mon, 03 Jun 2013 16:01:02 +0000",+0000,chambana-rooters-owner at lists.chambana.net,"Your mail to 'Chambana-rooters' with the subject

    Commotion Wireless Project account activation request

Is being held until the list moderator can review it for approval.

The reason it is being held:

    Too many recipients to the message

Either the message will get posted to the list, or you will receive
notification of the moderator's decision.  If you would like to cancel
this posting, please visit the following URL:

    https://lists.chambana.net/mailman/confirm/chambana-rooters/8540179954edbb2942437a61a5c357fe3edabf32

"
239,Commotion-admin, Your message to Chambana-rooters awaits moderator,"Mon, 03 Jun 2013 16:06:52 +0000",+0000,chambana-rooters-owner at lists.chambana.net,"Your mail to 'Chambana-rooters' with the subject

    Commotion Wireless Project account activation request

Is being held until the list moderator can review it for approval.

The reason it is being held:

    Too many recipients to the message

Either the message will get posted to the list, or you will receive
notification of the moderator's decision.  If you would like to cancel
this posting, please visit the following URL:

    https://lists.chambana.net/mailman/confirm/chambana-rooters/3c0166f0f82e0e81cc24173d5d1874840f0a626c

"
240,Commotion-admin, [commotion-quick-start] remove existing,"Tue, 04 Jun 2013 06:38:35 -0700",-0700,danstaples,"
You can merge this Pull Request by running:

  git pull https://github.com/opentechinstitute/commotion-quick-start wifi-iface

Or you can view, comment on it, or merge it online at:

  https://github.com/opentechinstitute/commotion-quick-start/pull/25

-- Commit Summary --

  * remove existing wifi-iface stanzas before adding our own

-- File Changes --

    M usr/lib/lua/luci/controller/QS/QS.lua (1)

-- Patch Links --

https://github.com/opentechinstitute/commotion-quick-start/pull/25.patch
https://github.com/opentechinstitute/commotion-quick-start/pull/25.diff

"
241,Commotion-admin, [commotion-quick-start] remove existing,"Sun, 09 Jun 2013 06:53:34 -0700",-0700,Seamus Tuohy,"Merged #25.

"
242,Commotion-admin, [GitHub] Subscribed to,"Mon, 10 Jun 2013 08:47:39 -0700",-0700,GitHub,"

Hey there, we're just writing to let you know that you've been automatically subscribed to a repository on GitHub.

    opentechinstitute/Tidepools-Mobile created by jrbaldwin
    Mobile-centric interface for Tidepools 
    https://github.com/opentechinstitute/Tidepools-Mobile

You'll receive notifications for all issues, pull requests, and comments that happen inside the repository. If you would like to stop watching this repository, you can manage your settings here:

    https://github.com/opentechinstitute/Tidepools-Mobile/subscription

You can unwatch this repository immediately by clicking here:

    https://github.com/opentechinstitute/Tidepools-Mobile/unsubscribe_via_email/c765377a24

You were automatically subscribed because you've been given push access to the repository.

Thanks!

"
243,Commotion-admin, [GitHub] Subscribed to,"Tue, 11 Jun 2013 11:47:32 -0700",-0700,GitHub,"

Hey there, we're just writing to let you know that you've been automatically subscribed to a repository on GitHub.

    opentechinstitute/tidepools-website created by georgiamoon
    this is the code for the tidepools website
    https://github.com/opentechinstitute/tidepools-website

You'll receive notifications for all issues, pull requests, and comments that happen inside the repository. If you would like to stop watching this repository, you can manage your settings here:

    https://github.com/opentechinstitute/tidepools-website/subscription

You can unwatch this repository immediately by clicking here:

    https://github.com/opentechinstitute/tidepools-website/unsubscribe_via_email/2a5e0d61db

You were automatically subscribed because you've been given push access to the repository.

Thanks!

"
244,Commotion-admin, Your message to Chambana-rooters awaits moderator,"Tue, 11 Jun 2013 21:11:44 +0000",+0000,chambana-rooters-owner at lists.chambana.net,"Your mail to 'Chambana-rooters' with the subject

    Commotion Wireless Project account activation request

Is being held until the list moderator can review it for approval.

The reason it is being held:

    Too many recipients to the message

Either the message will get posted to the list, or you will receive
notification of the moderator's decision.  If you would like to cancel
this posting, please visit the following URL:

    https://lists.chambana.net/mailman/confirm/chambana-rooters/b125cad493326fefe5c0036931a5ff6ba29a130d


"
245,Commotion-admin," [commotion-feed] update commotion-splash to v1.1,","Wed, 12 Jun 2013 15:53:41 -0700",-0700,danstaples,"
You can merge this Pull Request by running:

  git pull https://github.com/opentechinstitute/commotion-feed commotion-splash-1.1

Or you can view, comment on it, or merge it online at:

  https://github.com/opentechinstitute/commotion-feed/pull/9

-- Commit Summary --

  * update commotion-splash to v1.1, add new files to Makefile

-- File Changes --

    M packages/commotion-splash/Makefile (4)

-- Patch Links --

https://github.com/opentechinstitute/commotion-feed/pull/9.patch
https://github.com/opentechinstitute/commotion-feed/pull/9.diff

"
246,Commotion-admin, [commotion-openwrt-theme] Media query added (#6),"Thu, 13 Jun 2013 10:54:56 -0700",-0700,danstaples,"Added media-query for 900px wide maincontent section. Currently, it&#39;s maxed at 500px, which squishes some of the tab menus and tables often exceed the 500px and look wonky. This should make the width of the pages 900px when the screen size is 1024px or wider.

To test: open up the admin webUI on a device with a resolution of 1024px or wider. Check out how it looks on a bunch of different pages. Then de-maximize the browser window and narrow it until it goes back to a 500px width.
You can merge this Pull Request by running:

  git pull https://github.com/opentechinstitute/commotion-openwrt-theme media-query

Or you can view, comment on it, or merge it online at:

  https://github.com/opentechinstitute/commotion-openwrt-theme/pull/6

-- Commit Summary --

  * Added media-query for 900px wide maincontent section. Currently, it&#39;s maxed at 500px, which squishes some of the tab menus and tables often exceed the 500px and look wonky. This should make the width of the pages 900px when the screen size is 1024px or wider.

-- File Changes --

    M files/htdocs/cascade.css (10)

-- Patch Links --

https://github.com/opentechinstitute/commotion-openwrt-theme/pull/6.patch
https://github.com/opentechinstitute/commotion-openwrt-theme/pull/6.diff

"
247,Commotion-admin, [project-assets] Strong tag support (#2),"Mon, 17 Jun 2013 11:57:20 -0700",-0700,Griffin Boyce,"fixes bug #510
You can merge this Pull Request by running:

  git pull https://github.com/glamrock/project-assets master

Or you can view, comment on it, or merge it online at:

  https://github.com/opentechinstitute/project-assets/pull/2

-- Commit Summary --

  * added strong tag support
  * strong tag support

-- File Changes --

    M redmine-theme/stylesheets/print.css (2)

-- Patch Links --

https://github.com/opentechinstitute/project-assets/pull/2.patch
https://github.com/opentechinstitute/project-assets/pull/2.diff

"
248,Commotion-admin, [project-assets] Strong tag support (#2),"Mon, 17 Jun 2013 11:57:29 -0700",-0700,Griffin Boyce,"Merged #2.

"
249,Commotion-admin, [commotion-site-theme] Strong tag support (#1),"Mon, 17 Jun 2013 12:00:39 -0700",-0700,Griffin Boyce,"Fixes bug #510
You can merge this Pull Request by running:

  git pull https://github.com/glamrock/commotion-site-theme master

Or you can view, comment on it, or merge it online at:

  https://github.com/opentechinstitute/commotion-site-theme/pull/1

-- Commit Summary --

  * + ?.sparkleshare?
  * + ?print.css?
  * - ?SparkleShare.txt?
  * / ?.gitignore?
  * strong tag support

-- File Changes --

    M .gitignore (6)
    A .sparkleshare (1)
    A print.css (1088)

-- Patch Links --

https://github.com/opentechinstitute/commotion-site-theme/pull/1.patch
https://github.com/opentechinstitute/commotion-site-theme/pull/1.diff

"
250,Commotion-admin, [commotion-site-theme] Strong tag support (#1),"Mon, 17 Jun 2013 12:03:15 -0700",-0700,Griffin Boyce,"Not sure why all of these additional additions were added by Sparkleshare (?), but will remove them.

"
251,Commotion-admin, [Tidepools-Mobile] AMC data loader (#1),"Mon, 17 Jun 2013 19:54:37 -0700",-0700,Bryan Valentini,"The AMC data loader, runs in about ~35 seconds. Please check the schema translation.
You can merge this Pull Request by running:

  git pull https://github.com/transistorize/Tidepools-Mobile master

Or you can view, comment on it, or merge it online at:

  https://github.com/opentechinstitute/Tidepools-Mobile/pull/1

-- Commit Summary --

  * AMC data loader.

-- File Changes --

    A load_landmarks.js (146)
    A package.json (24)
    M record_landmark.js (63)

-- Patch Links --

https://github.com/opentechinstitute/Tidepools-Mobile/pull/1.patch
https://github.com/opentechinstitute/Tidepools-Mobile/pull/1.diff

"
252,Commotion-admin, [Tidepools-Mobile] AMC data loader (#1),"Mon, 17 Jun 2013 20:02:09 -0700",-0700,jrbaldwin,"Merged #1.

"
253,Commotion-admin, [commotion-mesh-applet] add_menu_item() incorrect,"Tue, 18 Jun 2013 10:45:18 -0700",-0700,hawkinswnaf,"PythonArgs: ['/usr/lib/gnome-applets/commotion-mesh-applet']
Traceback:
 Traceback (most recent call last):
   File ""/usr/lib/gnome-applets/commotion-mesh-applet"", line 30, in <module>
     cma.create_menu()
   File ""/usr/lib/python2.7/dist-packages/commotion_applet_support.py"", line 374, in create_menu
     strengths[profile[0]])
   File ""/usr/lib/python2.7/dist-packages/commotion_applet_support.py"", line 306, in add_visible_profile_menu_item
     os.path.join(self.nm_icon_dir, 'nm-signal-50.png'))
 TypeError: add_menu_item() takes at most 4 arguments (5 given)


"
254,Commotion-admin, [commotion-mesh-applet] Unbound local variable,"Tue, 18 Jun 2013 11:00:22 -0700",-0700,hawkinswnaf,"PythonArgs: ['/etc/NetworkManager/dispatcher.d/nm-dispatcher-olsrd', 'wlan0', 'up']
Traceback:
 Traceback (most recent call last):
   File ""/etc/NetworkManager/dispatcher.d/nm-dispatcher-olsrd"", line 276, in <module>
     m = MeshConnection(interface, status)
   File ""/etc/NetworkManager/dispatcher.d/nm-dispatcher-olsrd"", line 127, in __init__
     meshconnection = self.getMeshConnection(interface)
   File ""/etc/NetworkManager/dispatcher.d/nm-dispatcher-olsrd"", line 190, in getMeshConnection
     c = self.getAdhocConnection(interface)
   File ""/etc/NetworkManager/dispatcher.d/nm-dispatcher-olsrd"", line 222, in getAdhocConnection
     if ac == None:
 UnboundLocalError: local variable 'ac' referenced before assignment


"
255,Commotion-admin, [commotion-mesh-applet] add_menu_item(),"Tue, 18 Jun 2013 11:01:43 -0700",-0700,Hans-Christoph Steiner,"Closed #3.

"
256,Commotion-admin, [commotion-mesh-applet] add_menu_item(),"Tue, 18 Jun 2013 11:01:43 -0700",-0700,Hans-Christoph Steiner,"please report bugs on the redmine:
https://code.commotionwireless.net/projects/commotion-linux/issues

I'm turning this issue tracker off to avoid confusion. :-)

"
257,Commotion-admin, [commotion-mesh-applet] Unbound local,"Tue, 18 Jun 2013 11:05:21 -0700",-0700,hawkinswnaf,"Moving to redmine.

"
258,Commotion-admin, [commotion-mesh-applet] Unbound local,"Tue, 18 Jun 2013 11:05:21 -0700",-0700,hawkinswnaf,"Closed #4.

"
259,Commotion-admin, [Tidepools-Mobile] stuff (#2),"Tue, 18 Jun 2013 19:57:56 -0700",-0700,jrbaldwin,"Merged #2.

"
