message_number,forum,subject,datetime,timezone,username,message_content
133,Commotion-discuss, Washington Post and Red-Hook,"Thu, 03 Oct 2013 18:09:29 +0200",+0200,Seamus Tuohy,"Hey,

Here is a new news piece about Commotion from the Washington Post that
hightlights the awesome network put up by the Redhook Digital Stewards.

http://www.washingtonpost.com/posttv/video/thefold/do-it-yourself-internet-in-brooklyn/2013/10/02/796abb5c-2ba8-11e3-b139-029811dbb57f_video.html?hpid=z3

s2e
"
134,Commotion-discuss, Pico's dropping signals in DR2,"Fri, 04 Oct 2013 08:18:29 +0300",+0300,Dan Hastings,"I'm pretty sure the top LED light was blinking.  How can I disable
Serval? I would like to see if that solution works over here. 
On 10/3/13 3:42 PM, Dan Staples wrote:
> Hi Dan,
>
> Are you able to see if the router is rebooting during those periods 
> when it drops connections? The top LED would be blinking. We've been 
> seeing some DR2 reboot problems here with the network we set up for a 
> conference. We disabled and turned off Serval on the nodes, and that 
> has so far fixed the reboot problem...but it also prevents app 
> advertisement from working. So we're going to try to find a fix for 
> this as soon as possible.
>
> I'm not sure about the problem where you can't connect to the internet 
> or get the splash page. Maybe could you give us the debug output the 
> next time that happens? It's under the Commotion menu from the web 
> admin interface.
>
> Dan
>
> On Thu 03 Oct 2013 06:15:24 AM EDT, Daniel Hastings wrote:
"
135,Commotion-discuss, liability insurance for rooftop wireless,"Mon, 7 Oct 2013 04:54:57 -0400",-0400,Georgia Bullen,"Apologies to those on this thread, but I'm bringing this over to the
commotion-discuss list to see if anyone here has thoughts on insurance
(Andy's idea).

Please share if you do! Also - Hoboken/NYC Wireless friends, if you aren't
on the commotion-discuss and are interested, you can join here:
https://lists.chambana.net/mailman/listinfo/commotion-discuss

-Georgia


On Tue, Oct 1, 2013 at 4:02 PM, Ben N Serebin <ben at nycwireless.net> wrote:

> Annual insurance premium for $1m liability is $425 for us. The company we
> use is ""The Hartford"". But it was originally sourced via:
>
> http://www.techinsurance.com/
>
> -Ben
>
> "
136,Commotion-discuss, liability insurance for rooftop wireless,"Mon, 7 Oct 2013 08:18:43 -0500",-0500,Ben West,"Well, this does certainly answer a rather burning question I've had about
scattering small rooftop antenna rigs on other people's rooftops around
town.  Thank you.

Ben, could speak to any expectations you've encountered from your insurance
carrier about antenna mounting equipment that can be used?  That is, has
your carrier indicated whether they tend to prefer clients only using
off-the-shelf tripods, brackets, lightning grounding units, etc, or if
they've shown some tolerance for DIY gear?

Cheers!

On Mon, Oct 7, 2013 at 3:54 AM, Georgia Bullen <
georgia at opentechinstitute.org> wrote:

> Apologies to those on this thread, but I'm bringing this over to the
> commotion-discuss list to see if anyone here has thoughts on insurance
> (Andy's idea).
>
> Please share if you do! Also - Hoboken/NYC Wireless friends, if you aren't
> on the commotion-discuss and are interested, you can join here:
> https://lists.chambana.net/mailman/listinfo/commotion-discuss
>
> -Georgia
>
>
> On Tue, Oct 1, 2013 at 4:02 PM, Ben N Serebin <ben at nycwireless.net> wrote:
>
"
137,Commotion-discuss, DR2 Node Disconnecting Issue,"Wed, 2 Oct 2013 11:49:56 +0300",+0300,Daniel Hastings,"Howdy Commotion Community,

I hope those of you in Berlin are all having a good time at IS4CWN. Wish I
could join you.  Before I got into detail about my issue, I want to say we
have 4 nodes meshed now and have a very strong Student Network thanks to
Commotion. See image below:

[image: Inline image 1]

The screens shot is taken from the Computer-Lab node which also acts as a
gateway. Even though not labeled the central-tower acts as a gateway as
well.

As for my main concern, I?m having problems my Computer-Lab node. I do not
think I experienced these problems until I upgraded to DR2. The
computer-lab is configured to mesh through Ethernet but also has meshed
with the outdoor node training-center.

During the last few days during class while students were using the network
I tried to download a file from the ftp server.  Download speeds where very
high but halfway through during the download the computer-lab node
disconnected every students computer and mine from the computer-lab.  About
20 seconds later we were able to re-connect to the computer-lab again.  The
same thing also happened when I tried downloading a file from the internet
as well at another separate time.

Also, this morning when I tried to connect to the internet in the computer
lab I did not receive the splash screen or connect to the net even though
once I logged into the router could see that I was successfully meshed and
could ping the default gateway from the router without an issue.

The same problem happened two days ago with my central-tower node.

The router that the central-tower and computer-lab are connected to that
acts as a gateway is using DD-WRT, would this cause any issues?  Also the
computer lab and the training center nodes and girls-dorms nodes are all on
the same subnet of 101.108.214.1/24 This shouldn't cause a problem should
it? If it does how can I change AP's network?

Any help would be greatly appreciated. Thanks


Dan
-- 
*Dan Hastings*
*Abaarso School Computer Science Department*
dhastings at abaarsotech.org
"
138,Commotion-discuss, Strange Splash Page Behavior,"Tue, 15 Oct 2013 19:27:06 +0300",+0300,Dan Hastings,"I just set up our second commotion network at school for the teachers. I
put the network on a different channel (7) and added WPA2-PSK
encryption.  The first odd thing I noticed was when using the
unencrypted student network I picked up the wrong DNS servers.

I also noticed that I could connect to the student network and receive a
really good signal from my room. Normally I could not even connect to
the student network from this location.  It seemed like the two networks
were intertwined but when I checked the OLSR page they are definitely
not connected. I'm not sure if this is an issue I have with my router or
with my commotion nodes.

I'm using the latest overnight build on the teacher encrypted network
and just the DR2 stable release on the student network.

Thanks for the the help.


Dan

"
139,Commotion-discuss, Strange Splash Page Behavior,"Tue, 15 Oct 2013 13:53:55 -0400",-0400,Dan Staples,"Hi Dan,

Can you give a little more detail about the DNS issue? What was it set
to, and how did you find out? Usually one's computer will set its DNS
server to the one(s) specified by the router, which is sent in the DHCP
response. So unless you manually configured the DNS servers your
computer uses, it should be using the router itself as the DNS server.

And what was the strange splash page behavior you experienced?

-Dan

On 10/15/2013 12:27 PM, Dan Hastings wrote:
> I just set up our second commotion network at school for the teachers. I
> put the network on a different channel (7) and added WPA2-PSK
> encryption.  The first odd thing I noticed was when using the
> unencrypted student network I picked up the wrong DNS servers.
> 
> I also noticed that I could connect to the student network and receive a
> really good signal from my room. Normally I could not even connect to
> the student network from this location.  It seemed like the two networks
> were intertwined but when I checked the OLSR page they are definitely
> not connected. I'm not sure if this is an issue I have with my router or
> with my commotion nodes.
> 
> I'm using the latest overnight build on the teacher encrypted network
> and just the DR2 stable release on the student network.
> 
> Thanks for the the help.
> 
> 
> Dan
> 
> _______________________________________________
> Commotion-discuss mailing list
> Commotion-discuss at lists.chambana.net
> https://lists.chambana.net/mailman/listinfo/commotion-discuss
> 

-- 
Dan Staples

Open Technology Institute
https://commotionwireless.net
OpenPGP key: http://disman.tl/pgp.asc
Fingerprint: 2480 095D 4B16 436F 35AB 7305 F670 74ED BD86 43A9
"
140,Commotion-discuss," Commotion-discuss Digest, Vol 13, Issue 6","Wed, 16 Oct 2013 19:26:22 +0300",+0300,Daniel Hastings,"Hey Dan,

Must have erased the section about the splash page. Sorry about that. I
could not get the splash page to disappear on the password protected
network and it would not appear on the open student network. Fixed the
issue by checking the immediately authenticate box on the closed network. I
first tried the allowed hosts/subnets and could not get it to work but the
immediately authenticate option works fine. Everything is back to normal
now but I'll let you know if it happens again.  As for the DNS issue. I
think it may have been a problem with one of my local DNS servers. I set
each node to use the local server rather than the open DNS servers that I
normally use and it did not seem to work. I'll have to check my
configuration on my local servers.  Everything seems to be ok for now.
Sorry for the clarification error. Thanks for the help.

Dan


On Wed, Oct 16, 2013 at 3:00 PM, <
commotion-discuss-request at lists.chambana.net> wrote:

> Send Commotion-discuss mailing list submissions to
>         commotion-discuss at lists.chambana.net
>
> To subscribe or unsubscribe via the World Wide Web, visit
>         https://lists.chambana.net/mailman/listinfo/commotion-discuss
> or, via email, send a message with subject or body 'help' to
>         commotion-discuss-request at lists.chambana.net
>
> You can reach the person managing the list at
>         commotion-discuss-owner at lists.chambana.net
>
> When replying, please edit your Subject line so it is more specific
> than ""Re: Contents of Commotion-discuss digest...""
>
>
> Today's Topics:
>
>    1. Strange Splash Page Behavior (Dan Hastings)
>    2. Re: Strange Splash Page Behavior (Dan Staples)
>
>
> "
141,Commotion-discuss," Commotion-discuss Digest, Vol 13, Issue 6","Wed, 16 Oct 2013 13:07:55 -0400",-0400,Dan Staples,"Thanks for the update. For the splash page issue you were seeing, that's
a known bug (and I'll file a bug report right now). Basically, what I
think is going on, is that when you click either the ""internet"" or
""local apps"" buttons to authenticate, it sometimes takes longer for the
node to register you as authenticated than it does to redirect you, and
thus it splashes you again. In other words, you'll have to click through
the splash page 2 or 3 times before you actually get redirected to where
you're trying to go. Super annoying!

If you encounter it again, try clicking through a couple more times, and
let me know if it still doesn't redirect you. In the meantime, I'll add
it to my list of things to fix.

Thanks for the report!

Dan

On 10/16/2013 12:26 PM, Daniel Hastings wrote:
> Hey Dan,
> 
> Must have erased the section about the splash page. Sorry about that. I
> could not get the splash page to disappear on the password protected
> network and it would not appear on the open student network. Fixed the
> issue by checking the immediately authenticate box on the closed
> network. I first tried the allowed hosts/subnets and could not get it to
> work but the immediately authenticate option works fine. Everything is
> back to normal now but I'll let you know if it happens again.  As for
> the DNS issue. I think it may have been a problem with one of my local
> DNS servers. I set each node to use the local server rather than the
> open DNS servers that I normally use and it did not seem to work. I'll
> have to check my configuration on my local servers.  Everything seems to
> be ok for now.  Sorry for the clarification error. Thanks for the help.
> 
> Dan
> 
> 
> On Wed, Oct 16, 2013 at 3:00 PM,
> <commotion-discuss-request at lists.chambana.net
> <mailto:commotion-discuss-request at lists.chambana.net"
142,Commotion-discuss," Commotion-discuss Digest, Vol 13, Issue 6","Wed, 16 Oct 2013 13:16:41 -0400",-0400,Dan Staples,"Here's the relevant bug report:
https://github.com/opentechinstitute/luci-commotion-splash/issues/7

On 10/16/2013 01:07 PM, Dan Staples wrote:
> Thanks for the update. For the splash page issue you were seeing, that's
> a known bug (and I'll file a bug report right now). Basically, what I
> think is going on, is that when you click either the ""internet"" or
> ""local apps"" buttons to authenticate, it sometimes takes longer for the
> node to register you as authenticated than it does to redirect you, and
> thus it splashes you again. In other words, you'll have to click through
> the splash page 2 or 3 times before you actually get redirected to where
> you're trying to go. Super annoying!
> 
> If you encounter it again, try clicking through a couple more times, and
> let me know if it still doesn't redirect you. In the meantime, I'll add
> it to my list of things to fix.
> 
> Thanks for the report!
> 
> Dan
> 
> On 10/16/2013 12:26 PM, Daniel Hastings wrote:
"
143,Commotion-discuss, Web Browser Certificate Error after Factory,"Thu, 17 Oct 2013 15:43:14 +0300",+0300,Dan Hastings,"In DR2 I've had to do a couple of factory default resets. I've found
that I get the following error in Firefox after factory resting the router:

Secure Connection Failed

An error occurred during a connection to 192.168.1.20. You have received
an invalid certificate. Please contact the server administrator or email
correspondent and give them the following information: Your certificate
contains the same serial number as another certificate issued by the
certificate authority. Please get a new certificate containing a unique
serial number. (Error code: sec_error_reused_issuer_and_serial)

    The page you are trying to view cannot be shown because the
authenticity of the received data could not be verified.
    Please contact the website owners to inform them of this problem.
Alternatively, use the command found in the help menu to report this
broken site.

I've tried removing the certificates from my Firefox under
preferences>advanced>certificates but still cannot log back into the
router.  Do I have to do something in Firefox or in the router?

Thanks

Dan


"
144,Commotion-discuss, DNS Issues,"Thu, 17 Oct 2013 20:10:50 +0300",+0300,Daniel Hastings,"I'm still having strange issues with the DNS servers I would like my
requests to be forwarded to on my student network. Under DHCP AND DNS I
have the DNS Forwardings set to two Open DNS servers so I can block
specific content on the student network.  I enabled the log and found these
entries. For some reason the default DNS forwarder that is being used is
Google's 8.8.8.8  No where on any network in the school am I using this
server.  Is there anyway I can get the routers to forward requests to my
open dns servers? Is there a dnsmasq config file I can edit?

Log Files: (the second server 208.67.220.220 is the server I would like to
be the default)

Oct 17 16:46:09 Computer-Lab3681343115 daemon.info dnsmasq[3412]: using
nameserver 8.8.8.8#53
Oct 17 16:46:09 Computer-Lab3681343115 daemon.info dnsmasq[3412]: using
nameserver 208.67.220.220#53
Oct 17 16:46:09 Computer-Lab3681343115 daemon.info dnsmasq[3412]: using
local addresses only for domain mesh.local
Oct 17 16:46:09 Computer-Lab3681343115 daemon.info dnsmasq[3412]: read
/etc/hosts - 2 addresses

-- 
*Dan Hastings*
*Abaarso School Computer Science Department*
dhastings at abaarsotech.org
"
145,Commotion-discuss, DNS Issues,"Thu, 17 Oct 2013 12:18:07 -0500",-0500,Ben West,"This is actually an open issue for Commotion-OpenWRT.
https://github.com/opentechinstitute/commotion-openwrt/issues/52


On Thu, Oct 17, 2013 at 12:10 PM, Daniel Hastings <dhastings at abaarsotech.org
> wrote:

> I'm still having strange issues with the DNS servers I would like my
> requests to be forwarded to on my student network. Under DHCP AND DNS I
> have the DNS Forwardings set to two Open DNS servers so I can block
> specific content on the student network.  I enabled the log and found these
> entries. For some reason the default DNS forwarder that is being used is
> Google's 8.8.8.8  No where on any network in the school am I using this
> server.  Is there anyway I can get the routers to forward requests to my
> open dns servers? Is there a dnsmasq config file I can edit?
>
> Log Files: (the second server 208.67.220.220 is the server I would like to
> be the default)
>
> Oct 17 16:46:09 Computer-Lab3681343115 daemon.info dnsmasq[3412]: using
> nameserver 8.8.8.8#53
> Oct 17 16:46:09 Computer-Lab3681343115 daemon.info dnsmasq[3412]: using
> nameserver 208.67.220.220#53
> Oct 17 16:46:09 Computer-Lab3681343115 daemon.info dnsmasq[3412]: using
> local addresses only for domain mesh.local
> Oct 17 16:46:09 Computer-Lab3681343115 daemon.info dnsmasq[3412]: read
> /etc/hosts - 2 addresses
>
> --
> *Dan Hastings*
> *Abaarso School Computer Science Department*
> dhastings at abaarsotech.org
>
> _______________________________________________
> Commotion-discuss mailing list
> Commotion-discuss at lists.chambana.net
> https://lists.chambana.net/mailman/listinfo/commotion-discuss
>
"
146,Commotion-discuss, DNS Issues,"Thu, 17 Oct 2013 16:09:02 -0400",-0400,Andrew Reynolds,"Nameservers are associated with commotiond interface profiles. Each
profile has a dns= line. Just change that to your preferred nameserver.

Profiles are stored in /etc/commotion/profiles.d and are accessed using
the commotion > mesh profile menu. You can either edit your existing
profiles (one per interface) or create new ones, then apply them using
the profile tool.

-andrew

On 10/17/2013 01:10 PM, Daniel Hastings wrote:
> I'm still having strange issues with the DNS servers I would like my
> requests to be forwarded to on my student network. Under DHCP AND DNS I
> have the DNS Forwardings set to two Open DNS servers so I can block
> specific content on the student network.  I enabled the log and found these
> entries. For some reason the default DNS forwarder that is being used is
> Google's 8.8.8.8  No where on any network in the school am I using this
> server.  Is there anyway I can get the routers to forward requests to my
> open dns servers? Is there a dnsmasq config file I can edit?
> 
> Log Files: (the second server 208.67.220.220 is the server I would like to
> be the default)
> 
> Oct 17 16:46:09 Computer-Lab3681343115 daemon.info dnsmasq[3412]: using
> nameserver 8.8.8.8#53
> Oct 17 16:46:09 Computer-Lab3681343115 daemon.info dnsmasq[3412]: using
> nameserver 208.67.220.220#53
> Oct 17 16:46:09 Computer-Lab3681343115 daemon.info dnsmasq[3412]: using
> local addresses only for domain mesh.local
> Oct 17 16:46:09 Computer-Lab3681343115 daemon.info dnsmasq[3412]: read
> /etc/hosts - 2 addresses
> 
> 
> 
> _______________________________________________
> Commotion-discuss mailing list
> Commotion-discuss at lists.chambana.net
> https://lists.chambana.net/mailman/listinfo/commotion-discuss
> 


"
147,Commotion-discuss, DNS Issues,"Fri, 18 Oct 2013 09:35:49 +0300",+0300,Daniel Hastings,"I've actually found that some of open dns requests are being received and
others are not. The sites that of course I do not want to get forwarded
through Google's servers (youtube, vimeo) are getting through somehow.  I
tried change the default DNS under /tmp/resolv.conf.auto however once the
router reboots it restarts the default back to 8.8.8.8  Any help on this
would be great. Students get back to school today and having 30 or so on
youtube means our network will revert back to 56k speeds of the 90's.   Or
if anyone knows how to block https youtube using firewall rules without
blocking other Google services that would work as well.


On Thu, Oct 17, 2013 at 8:18 PM, Ben West <ben at gowasabi.net> wrote:

> This is actually an open issue for Commotion-OpenWRT.
> https://github.com/opentechinstitute/commotion-openwrt/issues/52
>
>
> On Thu, Oct 17, 2013 at 12:10 PM, Daniel Hastings <
> dhastings at abaarsotech.org> wrote:
>
"
148,Commotion-discuss," Commotion-discuss Digest, Vol 13, Issue 8","Fri, 18 Oct 2013 13:32:24 +0300",+0300,Daniel Hastings,"Changed the nameservers on the default plug and access point interface but
still was resolving with 8.8.8.8

Oct 18 10:14:32 Computer-Lab3681343115 daemon.info dnsmasq[3142]: forwarded
kat.ph to 8.8.8.8

I also changed the default dns to 208.67.222.222 on the mesh and on the
sec.

I'm still confused how to edit a profile under commotion > mesh profile - I
selected interface > ap (using quickstartAp)

profile > defaultAP and got the following error message

/usr/lib/lua/luci/dispatcher.lua:448: Failed to execute call
dispatcher target for entry '/admin/commotion/meshprofile_submit'.
The called action terminated with an exception:
...sr/lib/lua/luci/controller/commotion/meshprofile.lua:308: attempt
to index field 'QS' (a nil value)
stack traceback:
	[C]: in function 'assert'
	/usr/lib/lua/luci/dispatcher.lua:448: in function 'dispatch'
	/usr/lib/lua/luci/dispatcher.lua:195: in function
</usr/lib/lua/luci/dispatcher.lua:194"
149,Commotion-discuss, DR2 Memory Issues Is there a Quick Fix?,"Sat, 19 Oct 2013 11:56:28 +0300",+0300,Daniel Hastings,"I was wondering if there was a quick fix to the memory issue that causes
the nodes to crash in DR2.  I know that Dan had mentioned that you could
disable serval even though it disabled the splash screen.  Even that is the
case I'm ok with it as long as if fixes the memory issue for the time
being. Any quick simple explanation would be extremely helpful.  We are
having some serious issues with nodes crashing repeatedly on end over here.

Thanks again!

Dan

-- 
*Dan Hastings*
*Abaarso School Computer Science Department*
dhastings at abaarsotech.org
"
150,Commotion-discuss, DR2 Memory Issues Is there a Quick Fix?,"Sat, 19 Oct 2013 09:47:59 -0400",-0400,Dan Staples,"Hey Dan,

Disabling Serval won't affect the splash screen, but it will prevent
local app announcements from automatically propagating. Here's how to
turn it off/disable it:

/etc/init.d/serval-dna disable && /etc/init.d/serval-dna stop

Let me know if that doesn't solve the problem!

best,
Dan

On 10/19/2013 04:56 AM, Daniel Hastings wrote:
> I was wondering if there was a quick fix to the memory issue that causes
> the nodes to crash in DR2.  I know that Dan had mentioned that you could
> disable serval even though it disabled the splash screen.  Even that is
> the case I'm ok with it as long as if fixes the memory issue for the
> time being. Any quick simple explanation would be extremely helpful.  We
> are having some serious issues with nodes crashing repeatedly on end
> over here.
> 
> Thanks again!
> 
> Dan
> 
> -- 
> *Dan Hastings*
> /Abaarso School Computer Science Department/
> dhastings at abaarsotech.org <mailto:dhastings at abaarsotech.org>
> 
> 
> _______________________________________________
> Commotion-discuss mailing list
> Commotion-discuss at lists.chambana.net
> https://lists.chambana.net/mailman/listinfo/commotion-discuss
> 

-- 
Dan Staples

Open Technology Institute
https://commotionwireless.net
OpenPGP key: http://disman.tl/pgp.asc
Fingerprint: 2480 095D 4B16 436F 35AB 7305 F670 74ED BD86 43A9
"
151,Commotion-discuss, Web Browser Certificate Error after Factory,"Mon, 21 Oct 2013 09:56:49 -0400",-0400,Dan Staples,"What URL are you visiting that causes this error? We are trying to move
away from the 192.168.1.20 alias for the nodes since each node will use
that same address and each present a different self-signed certificate,
resulting in these types of errors.

Can anyone else from the dev team chime in with the status of this?

-Dan

On 10/17/2013 08:43 AM, Dan Hastings wrote:
> In DR2 I've had to do a couple of factory default resets. I've found
> that I get the following error in Firefox after factory resting the router:
> 
> Secure Connection Failed
> 
> An error occurred during a connection to 192.168.1.20. You have received
> an invalid certificate. Please contact the server administrator or email
> correspondent and give them the following information: Your certificate
> contains the same serial number as another certificate issued by the
> certificate authority. Please get a new certificate containing a unique
> serial number. (Error code: sec_error_reused_issuer_and_serial)
> 
>     The page you are trying to view cannot be shown because the
> authenticity of the received data could not be verified.
>     Please contact the website owners to inform them of this problem.
> Alternatively, use the command found in the help menu to report this
> broken site.
> 
> I've tried removing the certificates from my Firefox under
> preferences>advanced>certificates but still cannot log back into the
> router.  Do I have to do something in Firefox or in the router?
> 
> Thanks
> 
> Dan
> 
> 
> _______________________________________________
> Commotion-discuss mailing list
> Commotion-discuss at lists.chambana.net
> https://lists.chambana.net/mailman/listinfo/commotion-discuss
> 

-- 
Dan Staples

Open Technology Institute
https://commotionwireless.net
OpenPGP key: http://disman.tl/pgp.asc
Fingerprint: 2480 095D 4B16 436F 35AB 7305 F670 74ED BD86 43A9
"
152,Commotion-discuss, DNS Issues,"Mon, 21 Oct 2013 09:59:55 -0400",-0400,Dan Staples,"Have you tried changing the dns server in the commotion profiles
(/etc/commotion/profiles.d/quickstartAP or something like that)?
Anything in /tmp/ will be lost on reboot, so that's why you're seeing
that behavior.

Dan

On 10/18/2013 02:35 AM, Daniel Hastings wrote:
> I've actually found that some of open dns requests are being received
> and others are not. The sites that of course I do not want to get
> forwarded through Google's servers (youtube, vimeo) are getting through
> somehow.  I tried change the default DNS under /tmp/resolv.conf.auto
> however once the router reboots it restarts the default back to 8.8.8.8 
> Any help on this would be great. Students get back to school today and
> having 30 or so on youtube means our network will revert back to 56k
> speeds of the 90's.   Or if anyone knows how to block https youtube
> using firewall rules without blocking other Google services that would
> work as well.
> 
> 
> On Thu, Oct 17, 2013 at 8:18 PM, Ben West <ben at gowasabi.net
> <mailto:ben at gowasabi.net"
153,Commotion-discuss," Commotion-discuss Digest, Vol 13, Issue 8","Mon, 21 Oct 2013 10:03:07 -0400",-0400,Dan Staples,"I am hoping Seamus can chime in with the LuCI error regarding QS values.

Commotion comes with a few default profiles (defaultMesh, defaultAP,
etc). But once you go through the QuickStart, the node creates and
starts using another set of profiles: quickstartPlug, quickstartMesh,
quickstartAP, quickstartSec (or something similar). So those are the
profiles you will want to change.

When I get into the office today I'll take a look at the web interface
for changing the profiles. Are you using DR1 or DR2?

Dan

On 10/18/2013 06:32 AM, Daniel Hastings wrote:
> Changed the nameservers on the default plug and access point interface
> but still was resolving with 8.8.8.8 
> 
> Oct 18 10:14:32 Computer-Lab3681343115 daemon.info <http://daemon.info>
> dnsmasq[3142]: forwarded kat.ph <http://kat.ph> to 8.8.8.8
> 
> I also changed the default dns to 208.67.222.222 on the mesh and on the
> sec.  
> 
> I'm still confused how to edit a profile under commotion > mesh profile
> - I selected interface > ap (using quickstartAp)
> 
> profile > defaultAP and got the following error message
> 
> /usr/lib/lua/luci/dispatcher.lua:448: Failed to execute call dispatcher target for entry '/admin/commotion/meshprofile_submit'.
> The called action terminated with an exception:
> ...sr/lib/lua/luci/controller/commotion/meshprofile.lua:308: attempt to index field 'QS' (a nil value)
> stack traceback:
> 	[C]: in function 'assert'
> 	/usr/lib/lua/luci/dispatcher.lua:448: in function 'dispatch'
> 	/usr/lib/lua/luci/dispatcher.lua:195: in function </usr/lib/lua/luci/dispatcher.lua:194>
> 
> 
>  
> 
> 
> On Fri, Oct 18, 2013 at 9:46 AM,
> <commotion-discuss-request at lists.chambana.net
> <mailto:commotion-discuss-request at lists.chambana.net"
154,Commotion-discuss, [Commotion-dev] Has anyone tried this out?,"Mon, 21 Oct 2013 10:07:16 -0400",-0400,Dan Staples,"(+commotion-discuss)

Very cool, thanks for sending this out! Hopefully some of our colleagues
with Macs can give it a try.

Dan

On 10/20/2013 11:05 AM, Seamus Tuohy wrote:
> I have been thinking about how to get better ""field"" applicaitons for
> low expertiese network setup and wondered if anyone had played with this
> tool.
> 
>  http://www.netspotapp.com/
> 
> More importantly, does anyone know of open source site survey tools that
> might benefit from some support or develoment to make already powerful
> tools easier to use?
> 
> s2e
> _______________________________________________
> Commotion-dev mailing list
> Commotion-dev at lists.chambana.net
> https://lists.chambana.net/mailman/listinfo/commotion-dev
> 

-- 
Dan Staples

Open Technology Institute
https://commotionwireless.net
OpenPGP key: http://disman.tl/pgp.asc
Fingerprint: 2480 095D 4B16 436F 35AB 7305 F670 74ED BD86 43A9
"
155,Commotion-discuss, [Commotion-dev] Has anyone tried this out?,"Mon, 21 Oct 2013 10:16:05 -0400",-0400,Georgia Bullen,"I'm happy to with a little help on what exactly I'm testing and how.

The free version seems pretty limited based on my install last night.
On Oct 21, 2013 10:12 AM, ""Dan Staples"" <danstaples at opentechinstitute.org>
wrote:

> (+commotion-discuss)
>
> Very cool, thanks for sending this out! Hopefully some of our colleagues
> with Macs can give it a try.
>
> Dan
>
> On 10/20/2013 11:05 AM, Seamus Tuohy wrote:
> > I have been thinking about how to get better ""field"" applicaitons for
> > low expertiese network setup and wondered if anyone had played with this
> > tool.
> >
> >  http://www.netspotapp.com/
> >
> > More importantly, does anyone know of open source site survey tools that
> > might benefit from some support or develoment to make already powerful
> > tools easier to use?
> >
> > s2e
> > _______________________________________________
> > Commotion-dev mailing list
> > Commotion-dev at lists.chambana.net
> > https://lists.chambana.net/mailman/listinfo/commotion-dev
> >
>
> --
> Dan Staples
>
> Open Technology Institute
> https://commotionwireless.net
> OpenPGP key: http://disman.tl/pgp.asc
> Fingerprint: 2480 095D 4B16 436F 35AB 7305 F670 74ED BD86 43A9
> _______________________________________________
> Commotion-discuss mailing list
> Commotion-discuss at lists.chambana.net
> https://lists.chambana.net/mailman/listinfo/commotion-discuss
>
>
"
156,Commotion-discuss," Commotion-discuss Digest, Vol 13, Issue 8","Mon, 21 Oct 2013 18:50:06 +0300",+0300,Dan Hastings,"Yeah it finally worked after changed all of those profiles default DNS
to the nameserver I wanted to use. I was using DR2 on those nodes.  I
understand that once you do quickstart your profile is the ""quickstart
profile"" but I can't figure out how to make another profile from scratch
in the web interface.
On 10/21/13 5:03 PM, Dan Staples wrote:
> I am hoping Seamus can chime in with the LuCI error regarding QS values.
>
> Commotion comes with a few default profiles (defaultMesh, defaultAP,
> etc). But once you go through the QuickStart, the node creates and
> starts using another set of profiles: quickstartPlug, quickstartMesh,
> quickstartAP, quickstartSec (or something similar). So those are the
> profiles you will want to change.
>
> When I get into the office today I'll take a look at the web interface
> for changing the profiles. Are you using DR1 or DR2?
>
> Dan
>
> On 10/18/2013 06:32 AM, Daniel Hastings wrote:
"
157,Commotion-discuss," Commotion-discuss Digest, Vol 13, Issue 8","Mon, 21 Oct 2013 11:54:11 -0400",-0400,Dan Staples,"There currently isn't a way to make a profile from scratch AFAIK, but it
sounds like a good idea to add that functionality. It would be great to
be able to put together a profile out of the node's current running
settings.

On 10/21/2013 11:50 AM, Dan Hastings wrote:
> Yeah it finally worked after changed all of those profiles default DNS
> to the nameserver I wanted to use. I was using DR2 on those nodes.  I
> understand that once you do quickstart your profile is the ""quickstart
> profile"" but I can't figure out how to make another profile from scratch
> in the web interface.
> On 10/21/13 5:03 PM, Dan Staples wrote:
"
